Sourmash species,PointFinder species
Aspergillus fumigatus,aspergillus_fumigatus
Candida albicans,candida_albicans
Candidozyma auris,candidozyma_auris
Nakaseomyces glabratus,nakaseomyces_glabratus
Saccharomyces cerevisiae,saccharomyces_cerevisiae
Campylobacter,campylobacter
Enterococcus faecalis,enterococcus_faecalis
Enterococcus_B faecium,enterococcus_faecium
Escherichia coli,escherichia_coli
Helicobacter pylori,helicobacter_pylori
Klebsiella,klebsiella
Mycobacterium tuberculosis,mycobacterium_tuberculosis
Neisseria gonorrhoeae,neisseria_gonorrhoeae
Salmonella,salmonella
Staphylococcus aureus,staphylococcus_aureus
